Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,WAR,playerid
Babe Ruth,- - -,2503,10616,714,2174,2217,123,19.4 %,12.5 %,.348,.340,.342,.474,.690,.513,197,168.4,1011327
Ted Williams,Red Sox,2292,9791,521,1798,1839,24,20.6 %,7.2 %,.289,.328,.344,.482,.634,.493,188,130.4,1014040
Lou Gehrig,Yankees,2164,9660,493,1888,1995,102,15.6 %,8.2 %,.292,.332,.340,.447,.632,.477,173,116.3,1004598
Jimmie Foxx,- - -,2317,9670,534,1751,1922,87,15.0 %,13.6 %,.284,.336,.325,.428,.609,.460,158,101.8,1004285
Rogers Hornsby,- - -,2259,9475,301,1579,1584,135,11.0 %,7.2 %,.218,.365,.358,.434,.577,.459,173,130.2,1006030
Hank Greenberg,- - -,1394,6096,331,1051,1276,58,14.0 %,13.8 %,.292,.323,.313,.412,.605,.453,154,61.1,1004996
Ty Cobb,- - -,3035,13072,117,2246,1937,892,9.6 %,4.1 %,.146,.378,.366,.433,.512,.445,165,149.3,1002378
Joe Jackson,- - -,1332,5690,54,873,785,202,9.1 %,3.7 %,.162,.351,.356,.423,.517,.443,165,60.5,1006301
Joe DiMaggio,Yankees,1736,7671,361,1390,1537,30,10.3 %,4.8 %,.254,.304,.325,.398,.579,.439,152,83.1,1003311
Tris Speaker,- - -,2789,11988,117,1882,1529,432,11.5 %,2.3 %,.156,.350,.345,.428,.500,.436,157,130.6,1012309
Dan Brouthers,- - -,1673,7658,106,1523,1296,256,11.0 %,3.1 %,.177,.344,.342,.423,.519,.436,156,79.5,1001486
Stan Musial,Cardinals,3026,12712,475,1949,1951,78,12.6 %,5.5 %,.228,.320,.331,.417,.559,.435,158,126.8,1009405
Barry Bonds,- - -,2976,12606,762,2227,1996,514,20.3 %,12.2 %,.309,.285,.298,.444,.607,.435,173,164.1,1109
John McGraw,- - -,1099,4926,13,1024,462,436,17.0 %,3.3 %,.076,.335,.334,.466,.410,.433,142,48.9,1008542
Billy Hamilton,- - -,1591,7584,40,1690,736,912,15.7 %,4.5 %,.088,.369,.344,.455,.432,.433,142,70.3,1005270
Johnny Mize,- - -,1884,7371,359,1118,1337,28,11.6 %,7.1 %,.250,.297,.312,.397,.562,.433,157,68.6,1009014
Bill Joyce,- - -,904,4149,70,820,607,264,17.3 %,9.2 %,.174,.321,.294,.435,.467,.430,140,33.4,1006633
Mel Ott,Giants,2730,11337,511,1859,1860,89,15.1 %,7.9 %,.229,.294,.304,.414,.533,.430,156,110.5,1009904
Ed Delahanty,- - -,1835,8389,101,1599,1464,455,8.8 %,5.3 %,.159,.344,.346,.411,.505,.428,144,73.7,1003155
Charlie Keller,- - -,1170,4604,189,725,760,45,17.0 %,10.8 %,.231,.289,.286,.410,.518,.428,152,46.0,1006768
Mickey Mantle,Yankees,2401,9909,536,1677,1509,153,17.5 %,17.3 %,.259,.318,.298,.421,.557,.428,170,112.3,1008082
Ralph Kiner,- - -,1472,6256,369,971,1015,22,16.2 %,12.0 %,.269,.264,.279,.398,.548,.427,147,47.6,1006923
Harry Heilmann,- - -,2148,8960,183,1291,1539,113,9.6 %,6.1 %,.179,.351,.342,.410,.520,.427,144,69.0,1005590
Lefty O'Doul,- - -,970,3659,113,624,542,36,9.1 %,3.3 %,.183,.339,.349,.413,.532,.426,142,27.0,1009734
Hack Wilson,- - -,1348,5556,244,884,1063,52,12.1 %,12.8 %,.238,.320,.307,.395,.545,.421,143,42.1,1014083
Ken Williams,- - -,1397,5616,196,860,913,154,10.1 %,5.1 %,.211,.310,.319,.393,.530,.420,134,40.4,1014012
Albert Pujols,- - -,1957,8546,492,1425,1498,93,12.5 %,9.8 %,.278,.306,.321,.410,.599,.420,161,87.4,1177
Manny Ramirez,- - -,2299,9774,555,1544,1831,38,13.6 %,18.5 %,.273,.338,.312,.411,.585,.418,153,66.8,210
Earl Averill,- - -,1668,7215,238,1224,1164,70,10.7 %,7.2 %,.216,.318,.318,.395,.534,.417,131,47.9,1000378
Frank Thomas,- - -,2322,10075,521,1494,1704,32,16.5 %,13.9 %,.254,.304,.301,.419,.555,.416,154,72.4,255
Jake Stenzel,- - -,766,3412,32,662,533,292,8.8 %,3.5 %,.142,.364,.339,.408,.480,.416,130,21.5,1012485
Mark McGwire,- - -,1866,7660,583,1167,1414,12,17.2 %,20.8 %,.325,.255,.263,.394,.588,.415,157,66.3,1008559
Mickey Cochrane,- - -,1482,6206,119,1041,832,64,13.8 %,3.5 %,.158,.317,.320,.419,.478,.413,132,50.6,1002384
Ray Grimes,- - -,433,1788,27,269,263,21,11.4 %,7.4 %,.151,.347,.329,.413,.480,.412,135,11.1,1005065
Larry Walker,- - -,1970,8030,383,1355,1311,230,11.4 %,15.3 %,.252,.332,.313,.400,.565,.412,140,69.0,455
Jesse Burkett,- - -,2066,9605,75,1720,952,389,10.7 %,6.0 %,.108,.367,.338,.415,.446,.411,137,66.6,1001682
Bob Johnson,- - -,1863,8047,288,1239,1283,96,13.4 %,10.6 %,.210,.305,.296,.393,.506,.411,133,57.0,1006428
Chuck Klein,- - -,1753,7168,300,1168,1201,79,8.4 %,7.3 %,.223,.314,.320,.379,.543,.411,133,42.8,1006991
Joey Votto,Reds,890,3790,157,529,530,47,14.9 %,18.5 %,.227,.359,.314,.419,.541,.411,156,33.0,4314
Al Simmons,- - -,2215,9515,307,1507,1827,88,6.5 %,7.7 %,.201,.340,.334,.380,.535,.410,130,69.3,1011978
Babe Herman,- - -,1552,6226,181,882,997,94,8.4 %,8.9 %,.207,.336,.324,.383,.532,.410,139,42.7,1005691
Gavvy Cravath,- - -,1220,4645,119,575,719,89,12.1 %,12.1 %,.191,.314,.287,.380,.478,.410,150,35.7,1002735
Eddie Collins,- - -,2826,12037,47,1821,1300,744,12.5 %,3.2 %,.096,.343,.333,.424,.429,.409,144,120.5,1002451
Sam Thompson,- - -,1407,6502,127,1256,1299,229,6.9 %,3.5 %,.174,.330,.331,.384,.505,.409,136,44.1,1013024
Willie Mays,- - -,2992,12493,660,2062,1903,338,11.7 %,12.2 %,.256,.299,.302,.384,.557,.409,154,149.9,1008315
Roger Connor,- - -,1997,8837,138,1620,1322,244,11.3 %,5.1 %,.169,.324,.317,.397,.486,.409,143,86.2,1002537
Honus Wagner,- - -,2792,11739,101,1736,1732,722,8.2 %,7.6 %,.139,.318,.327,.391,.466,.408,147,138.1,1013485
Joe Harris,- - -,970,3574,47,461,517,36,11.6 %,5.3 %,.155,.327,.317,.404,.472,.407,132,25.0,1005421
Miguel Cabrera,- - -,1660,7126,365,1064,1260,36,11.2 %,16.9 %,.247,.346,.321,.399,.568,.407,152,55.3,1744
Pete Browning,- - -,1183,5315,46,954,659,258,8.8 %,7.9 %,.125,.347,.341,.403,.467,.407,147,45.5,1001554
Bill Terry,Giants,1721,7111,154,1120,1078,56,7.6 %,6.3 %,.165,.350,.341,.393,.506,.407,137,57.0,1012927
Jack Fournier,- - -,1530,6033,136,822,859,145,9.7 %,6.9 %,.170,.323,.313,.392,.483,.406,141,42.2,1004264
Denny Lyons,- - -,1121,5010,62,932,755,224,12.4 %,6.7 %,.132,.320,.310,.407,.443,.406,134,37.6,1007880
Jackie Robinson,Dodgers,1382,5802,137,947,734,197,12.8 %,5.0 %,.162,.310,.311,.409,.474,.406,135,57.2,1011070
Jim Thome,- - -,2540,10313,612,1583,1699,19,16.9 %,24.7 %,.278,.322,.276,.402,.554,.406,145,67.8,409
Bill Lange,Colts,811,3609,39,689,578,399,9.7 %,4.1 %,.128,.337,.330,.401,.459,.406,122,24.8,1007315
Jeff Bagwell,Astros,2148,9431,449,1517,1529,202,14.9 %,16.5 %,.244,.317,.297,.408,.540,.405,149,80.3,547
Mike Trout,Angels,336,1490,62,258,196,86,12.5 %,20.5 %,.230,.366,.314,.404,.544,.405,163,21.1,10155
Edgar Martinez,Mariners,2049,8678,309,1219,1262,49,14.8 %,13.9 %,.204,.335,.312,.418,.515,.405,147,65.6,1086
Todd Helton,Rockies,2246,9453,369,1401,1406,37,14.1 %,12.4 %,.223,.330,.316,.414,.539,.405,132,55.7,432
Joe Kelley,- - -,1853,8120,65,1421,1194,443,11.2 %,5.9 %,.134,.358,.317,.402,.451,.405,130,54.9,1006776
Riggs Stephenson,- - -,1310,5134,63,714,773,53,9.6 %,4.8 %,.137,.346,.336,.407,.473,.405,132,33.1,1012500
Charlie Gehringer,Tigers,2323,10237,184,1774,1427,181,11.6 %,3.6 %,.160,.320,.320,.404,.480,.405,124,78.6,1004596
George Selkirk,Yankees,846,3322,108,503,576,49,14.6 %,9.6 %,.192,.297,.290,.400,.483,.404,128,23.7,1011732
Duke Snider,- - -,2143,8237,407,1259,1333,99,11.8 %,15.0 %,.244,.308,.295,.380,.540,.404,139,63.5,1012230
Mike Donlin,- - -,1049,4282,51,669,543,213,7.3 %,6.9 %,.136,.323,.333,.386,.468,.404,139,33.2,1003380
